MatchType;MatchValue;IDE;Target;Publisher;ExtensionId;DisplayName;LatestVersion;InstallCount;AverageRating;RatingCount;MarketplaceTags;MarketplaceUrl
Tag;ai;VSCode;Microsoft.VisualStudio.Code;04756;chatgpt-box;chatgpt-box;3.9.8;1096;;;;https://marketplace.visualstudio.com/items?itemName=04756.chatgpt-box
Tag;chatgpt;VSCode;Microsoft.VisualStudio.Code;04756;chatgpt-box;chatgpt-box;3.9.8;1096;;;;https://marketplace.visualstudio.com/items?itemName=04756.chatgpt-box
Tag;copilot;VSCode;Microsoft.VisualStudio.Code;04756;chatgpt-box;chatgpt-box;3.9.8;1096;;;;https://marketplace.visualstudio.com/items?itemName=04756.chatgpt-box
Tag;openai;VSCode;Microsoft.VisualStudio.Code;04756;chatgpt-box;chatgpt-box;3.9.8;1096;;;;https://marketplace.visualstudio.com/items?itemName=04756.chatgpt-box
Tag;llm;VSCode;Microsoft.VisualStudio.Code;0X4N0NYM0U5;UserStudy-CodingAssistant;UserStudy (AI-powered Coding Assistant tools);1.1.3;216;;;;https://marketplace.visualstudio.com/items?itemName=0X4N0NYM0U5.UserStudy-CodingAssistant
Tag;ai;VSCode;Microsoft.VisualStudio.Code;0ly;claude-terminal-panel;Claude Terminal Panel;1.0.9;32;5;1;;https://marketplace.visualstudio.com/items?itemName=0ly.claude-terminal-panel
Tag;claude;VSCode;Microsoft.VisualStudio.Code;0ly;claude-terminal-panel;Claude Terminal Panel;1.0.9;32;5;1;;https://marketplace.visualstudio.com/items?itemName=0ly.claude-terminal-panel
Tag;gemini;VSCode;Microsoft.VisualStudio.Code;0ly;claude-terminal-panel;Claude Terminal Panel;1.0.9;32;5;1;;https://marketplace.visualstudio.com/items?itemName=0ly.claude-terminal-panel
Category;AI;VSCode;Microsoft.VisualStudio.Code;0to60-ai;brewdata;brewdata;0.0.3;74;5;1;;https://marketplace.visualstudio.com/items?itemName=0to60-ai.brewdata
Tag;ai;VSCode;Microsoft.VisualStudio.Code;0to60-ai;brewdata;brewdata;0.0.3;74;5;1;;https://marketplace.visualstudio.com/items?itemName=0to60-ai.brewdata
Tag;chatgpt;VSCode;Microsoft.VisualStudio.Code;0to60-ai;brewdata;brewdata;0.0.3;74;5;1;;https://marketplace.visualstudio.com/items?itemName=0to60-ai.brewdata
Tag;claude;VSCode;Microsoft.VisualStudio.Code;0to60-ai;brewdata;brewdata;0.0.3;74;5;1;;https://marketplace.visualstudio.com/items?itemName=0to60-ai.brewdata
Tag;llama;VSCode;Microsoft.VisualStudio.Code;0to60-ai;brewdata;brewdata;0.0.3;74;5;1;;https://marketplace.visualstudio.com/items?itemName=0to60-ai.brewdata
Tag;ai;VSCode;Microsoft.VisualStudio.Code;0xFedev;vs-chatgpt;VS ChatGPT;1.5.0;10686;5;1;;https://marketplace.visualstudio.com/items?itemName=0xFedev.vs-chatgpt
Tag;chatgpt;VSCode;Microsoft.VisualStudio.Code;0xFedev;vs-chatgpt;VS ChatGPT;1.5.0;10686;5;1;;https://marketplace.visualstudio.com/items?itemName=0xFedev.vs-chatgpt
Tag;openai;VSCode;Microsoft.VisualStudio.Code;0xFedev;vs-chatgpt;VS ChatGPT;1.5.0;10686;5;1;;https://marketplace.visualstudio.com/items?itemName=0xFedev.vs-chatgpt
Tag;copilot;VSCode;Microsoft.VisualStudio.Code;0xk1h0;secure-codegen;SecureCodeGen;0.0.1;20;;;;https://marketplace.visualstudio.com/items?itemName=0xk1h0.secure-codegen
Tag;copilot;VSCode;Microsoft.VisualStudio.Code;0xk1h0;skku-usable-sec-test-codetocode;skku-usable-sec-test-codetocode;0.1.6;20;;;;https://marketplace.visualstudio.com/items?itemName=0xk1h0.skku-usable-sec-test-codetocode
Tag;copilot;VSCode;Microsoft.VisualStudio.Code;0xk1h0;skku-usable-sec-test-nltocode;skku-usable-sec-test-nltocode;0.1.1;64;;;;https://marketplace.visualstudio.com/items?itemName=0xk1h0.skku-usable-sec-test-nltocode
Category;AI;VSCode;Microsoft.VisualStudio.Code;1031022;bob-ai-cli;Bob AI CLI;0.0.9;188;5;3;;https://marketplace.visualstudio.com/items?itemName=1031022.bob-ai-cli
Tag;claude;VSCode;Microsoft.VisualStudio.Code;1031022;bob-ai-cli;Bob AI CLI;0.0.9;190;5;3;;https://marketplace.visualstudio.com/items?itemName=1031022.bob-ai-cli
Tag;ai;VSCode;Microsoft.VisualStudio.Code;10Clouds;10minions;10Minions (GPT-4 enabled);0.9.12;3430;5;3;;https://marketplace.visualstudio.com/items?itemName=10Clouds.10minions
Tag;chatgpt;VSCode;Microsoft.VisualStudio.Code;10Clouds;10minions;10Minions (GPT-4 enabled);0.9.12;3430;5;3;;https://marketplace.visualstudio.com/items?itemName=10Clouds.10minions
Tag;copilot;VSCode;Microsoft.VisualStudio.Code;10Clouds;10minions;10Minions (GPT-4 enabled);0.9.12;3430;5;3;;https://marketplace.visualstudio.com/items?itemName=10Clouds.10minions
Tag;openai;VSCode;Microsoft.VisualStudio.Code;10Clouds;10minions;10Minions (GPT-4 enabled);0.9.12;3430;5;3;;https://marketplace.visualstudio.com/items?itemName=10Clouds.10minions
Tag;ai;VSCode;Microsoft.VisualStudio.Code;10XDEVAI;devxai;DevX AI;0.0.7;390;4;1;;https://marketplace.visualstudio.com/items?itemName=10XDEVAI.devxai
Tag;chatgpt;VSCode;Microsoft.VisualStudio.Code;10XDEVAI;devxai;DevX AI;0.0.7;390;4;1;;https://marketplace.visualstudio.com/items?itemName=10XDEVAI.devxai
Tag;copilot;VSCode;Microsoft.VisualStudio.Code;10XDEVAI;devxai;DevX AI;0.0.7;390;4;1;;https://marketplace.visualstudio.com/items?itemName=10XDEVAI.devxai
Tag;openai;VSCode;Microsoft.VisualStudio.Code;10XDEVAI;devxai;DevX AI;0.0.7;390;4;1;;https://marketplace.visualstudio.com/items?itemName=10XDEVAI.devxai
Tag;ai;VSCode;Microsoft.VisualStudio.Code;10nates;ollama-autocoder;Ollama Autocoder;0.1.1;71251;5;5;;https://marketplace.visualstudio.com/items?itemName=10nates.ollama-autocoder
Tag;llama;VSCode;Microsoft.VisualStudio.Code;10nates;ollama-autocoder;Ollama Autocoder;0.1.1;71267;5;5;;https://marketplace.visualstudio.com/items?itemName=10nates.ollama-autocoder
Tag;llm;VSCode;Microsoft.VisualStudio.Code;10nates;ollama-autocoder;Ollama Autocoder;0.1.1;71284;5;5;;https://marketplace.visualstudio.com/items?itemName=10nates.ollama-autocoder
Tag;ollama;VSCode;Microsoft.VisualStudio.Code;10nates;ollama-autocoder;Ollama Autocoder;0.1.1;71267;5;5;;https://marketplace.visualstudio.com/items?itemName=10nates.ollama-autocoder
Tag;ai;VSCode;Microsoft.VisualStudio.Code;1791Technologies;kilocode-deepinfra;Kilo Code – DeepInfra Helper;1.0.3;845;;;;https://marketplace.visualstudio.com/items?itemName=1791Technologies.kilocode-deepinfra
Tag;deepseek;VSCode;Microsoft.VisualStudio.Code;1791Technologies;kilocode-deepinfra;Kilo Code – DeepInfra Helper;1.0.3;844;;;;https://marketplace.visualstudio.com/items?itemName=1791Technologies.kilocode-deepinfra
Tag;llama;VSCode;Microsoft.VisualStudio.Code;1791Technologies;kilocode-deepinfra;Kilo Code – DeepInfra Helper;1.0.3;844;;;;https://marketplace.visualstudio.com/items?itemName=1791Technologies.kilocode-deepinfra
Tag;openai;VSCode;Microsoft.VisualStudio.Code;1791Technologies;kilocode-deepinfra;Kilo Code – DeepInfra Helper;1.0.3;841;;;;https://marketplace.visualstudio.com/items?itemName=1791Technologies.kilocode-deepinfra
Tag;qwen;VSCode;Microsoft.VisualStudio.Code;1791Technologies;kilocode-deepinfra;Kilo Code – DeepInfra Helper;1.0.3;843;;;;https://marketplace.visualstudio.com/items?itemName=1791Technologies.kilocode-deepinfra
Tag;ai;VSCode;Microsoft.VisualStudio.Code;20minds;co-scientist;20minds Co-Scientist;0.4.6;33;;;;https://marketplace.visualstudio.com/items?itemName=20minds.co-scientist
Tag;copilot;VSCode;Microsoft.VisualStudio.Code;20minds;co-scientist;20minds Co-Scientist;0.4.6;33;;;;https://marketplace.visualstudio.com/items?itemName=20minds.co-scientist
Category;AI;VSCode;Microsoft.VisualStudio.Code;21st-dev;21st-extension;21st.dev;0.0.11;5804;;;;https://marketplace.visualstudio.com/items?itemName=21st-dev.21st-extension
Tag;ai;VSCode;Microsoft.VisualStudio.Code;21st-dev;21st-extension;21st.dev;0.0.11;5805;;;;https://marketplace.visualstudio.com/items?itemName=21st-dev.21st-extension
Tag;openai;VSCode;Microsoft.VisualStudio.Code;2333Ge;fe-dev-tools;fe-dev-tools;0.0.8;32;5;1;;https://marketplace.visualstudio.com/items?itemName=2333Ge.fe-dev-tools
Category;AI;VSCode;Microsoft.VisualStudio.Code;23J1633;rwb-html-to-ppt;RWB HTMLtoPPT;1.0.1;25;;;;https://marketplace.visualstudio.com/items?itemName=23J1633.rwb-html-to-ppt
Tag;ai;VSCode;Microsoft.VisualStudio.Code;23J1633;rwb-html-to-ppt;RWB HTMLtoPPT;1.0.1;25;;;;https://marketplace.visualstudio.com/items?itemName=23J1633.rwb-html-to-ppt
Tag;llm;VSCode;Microsoft.VisualStudio.Code;23J1633;rwb-html-to-ppt;RWB HTMLtoPPT;1.0.1;25;;;;https://marketplace.visualstudio.com/items?itemName=23J1633.rwb-html-to-ppt
Tag;ai;VSCode;Microsoft.VisualStudio.Code;2weeksco;ai-commit-message;Ai Commit Message;1.1.6;4505;5;2;;https://marketplace.visualstudio.com/items?itemName=2weeksco.ai-commit-message
Tag;chatgpt;VSCode;Microsoft.VisualStudio.Code;2weeksco;ai-commit-message;Ai Commit Message;1.1.6;4504;5;2;;https://marketplace.visualstudio.com/items?itemName=2weeksco.ai-commit-message
Category;AI;VSCode;Microsoft.VisualStudio.Code;360-Geelib-Copilot-Code;geelibcopilotcode;360geelib.copilot.code;4.0.3;1060;5;1;;https://marketplace.visualstudio.com/items?itemName=360-Geelib-Copilot-Code.geelibcopilotcode
Tag;ai;VSCode;Microsoft.VisualStudio.Code;360-Geelib-Copilot-Code;geelibcopilotcode;360geelib.copilot.code;4.0.3;1060;5;1;;https://marketplace.visualstudio.com/items?itemName=360-Geelib-Copilot-Code.geelibcopilotcode
Tag;chatgpt;VSCode;Microsoft.VisualStudio.Code;360-Geelib-Copilot-Code;geelibcopilotcode;360geelib.copilot.code;4.0.3;1064;5;1;;https://marketplace.visualstudio.com/items?itemName=360-Geelib-Copilot-Code.geelibcopilotcode
Tag;claude;VSCode;Microsoft.VisualStudio.Code;360-Geelib-Copilot-Code;geelibcopilotcode;360geelib.copilot.code;4.0.3;1062;5;1;;https://marketplace.visualstudio.com/items?itemName=360-Geelib-Copilot-Code.geelibcopilotcode
Tag;copilot;VSCode;Microsoft.VisualStudio.Code;360-Geelib-Copilot-Code;geelibcopilotcode;360geelib.copilot.code;4.0.3;1060;5;1;;https://marketplace.visualstudio.com/items?itemName=360-Geelib-Copilot-Code.geelibcopilotcode
